Fecha,Precipitacion,Temperatura,Caudal_Real,Inercia_3meses,Mes,Caudal_IA
1950-03-01,18.016666666666666,22.689999999999998,,26.58666666666667,3,28.034999999999982
1950-04-01,45.449999999999996,22.763333333333335,,32.90555555555556,4,36.17666666666668
1950-05-01,74.03,23.64333333333333,,45.83222222222222,5,40.848333333333336
1950-06-01,60.71666666666667,24.573333333333334,,60.065555555555555,6,57.17999999999999
1950-07-01,37.08,24.833333333333332,,57.27555555555556,7,35.83750000000002
1950-08-01,83.69333333333334,25.38333333333333,,60.49666666666667,8,45.88916666666668
1950-09-01,57.21666666666666,25.233333333333334,,59.330000000000005,9,52.71750000000001
1950-10-01,53.723333333333336,24.46666666666667,,64.8777777777778,10,38.742500000000014
1950-11-01,52.32333333333333,23.060000000000002,,54.42111111111112,11,62.98416666666663
1950-12-01,45.339999999999996,22.313333333333333,,50.462222222222216,12,55.3608333333333
1951-01-01,22.66333333333333,21.176666666666666,,40.10888888888889,1,47.63000000000002
1951-02-01,19.41,20.886666666666667,,29.137777777777774,2,41.959999999999994
1951-03-01,18.209999999999997,21.80666666666667,,20.09444444444445,3,35.205
1951-04-01,79.89,24.01,,39.17000000000001,4,28.125000000000004
1951-05-01,118.78666666666668,24.313333333333333,,72.29555555555557,5,130.19166666666663
1951-06-01,49.79333333333333,24.97,,82.82333333333334,6,84.04666666666671
1951-07-01,52.68,25.206666666666663,,73.75333333333334,7,37.13750000000001
1951-08-01,46.10333333333333,25.763333333333332,,49.52555555555556,8,37.085000000000015
1951-09-01,59.26666666666667,25.539999999999996,,52.68333333333334,9,28.845000000000006
1951-10-01,46.56,25.126666666666665,,50.64333333333334,10,31.545833333333345
1951-11-01,46.916666666666664,24.203333333333333,,50.914444444444456,11,49.74833333333333
1951-12-01,32.5,22.74666666666667,,41.99222222222223,12,29.495000000000008
1952-01-01,19.733333333333334,21.439999999999998,,33.050000000000004,1,42.57749999999999
1952-02-01,16.903333333333332,22.546666666666667,,23.045555555555563,2,20.7475
1952-03-01,20.110000000000003,23.42,,18.91555555555556,3,7.889166666666667
